Task,FPGA Resources,Function,Latency TC1,Latency TC2,Latency TC3,Accuracy TC1,Accuracy TC2,Accuracy TC3
Task 3,27.51%,cosf,10.5,426,14055.40,170105728,6627435008,211932430336
Task 4,28.68%,cosf,5.1,201.5,6475,170105728,6627435008,211932430336
Task 6,29.46%,my_cosf,4.6,181.1,5781,170105728,6627435008,211932430336
Task 7,31.03%,,0.2,6.5,205.3,170105872,6627445248,211934101504
Task 8, 32.35%,,0, 1,17,170105872,6627445248,211934101504
